15.62,536.0,539.0,0.0,0.0,
15.64,536.0,539.0,165.96,0.0,
15.66,535.0,539.0,165.96,0.0,
15.68,535.0,539.0,0.0,0.0,
15.7,535.0,539.0,0.0,0.0,
15.72,535.0,539.0,0.0,0.0,
15.74,535.0,539.0,0.0,0.0,
15.76,535.0,539.0,0.0,0.0,
15.78,535.0,539.0,0.0,165.96,
15.8,535.0,538.0,0.0,165.96,
15.82,535.0,538.0,0.0,153.43,
15.84,535.0,536.0,0.0,143.13,
15.86,535.0,535.0,165.96,143.13,
15.88,534.0,533.0,165.96,128.66,
15.9,534.0,530.0,0.0,128.66,
15.92,534.0,528.0,0.0,135.0,
15.94,534.0,526.0,0.0,143.13,
15.96,534.0,525.0,165.96,143.13,
15.98,533.0,523.0,153.43,143.13,
16.0,532.0,522.0,153.43,153.43,
16.02,531.0,521.0,153.43,153.43,
16.04,530.0,520.0,143.13,143.13,
16.06,528.0,518.0,128.66,143.13,
16.08,525.0,517.0,123.69,143.13,
16.1,522.0,515.0,119.74,143.13,
16.12,518.0,514.0,116.57,143.13,
16.14,514.0,512.0,116.57,135.0,
16.16,510.0,510.0,113.96,135.0,
16.18,505.0,508.0,113.96,135.0,
16.2,501.0,506.0,113.96,135.0,
16.22,496.0,504.0,113.96,135.0,
16.24,492.0,502.0,113.96,135.0,
16.26,487.0,500.0,113.96,128.66,
16.28,483.0,497.0,116.57,123.69,
16.3,479.0,494.0,116.57,123.69,
16.32,475.0,491.0,116.57,123.69,
16.34,471.0,488.0,113.96,119.74,
16.36,466.0,484.0,113.96,116.57,
16.38,462.0,480.0,116.57,113.96,
16.4,458.0,475.0,113.96,113.96,
16.42,453.0,471.0,111.8,113.96,
16.44,448.0,466.0,111.8,111.8,
16.46,443.0,461.0,111.8,111.8,
16.48,438.0,456.0,113.96,111.8,
16.5,434.0,451.0,111.8,111.8,
16.52,428.0,446.0,109.98,111.8,
16.54,423.0,441.0,111.8,111.8,
16.56,418.0,436.0,109.98,111.8,
16.58,412.0,431.0,109.98,109.98,
16.6,407.0,425.0,109.98,108.43,
