0,0,0,0,0
0.02,287,283,89.21,89.19
0.04,290,283,60.255,0
0.06,294,283,56.31,0
0.08,296,283,45,0
0.1,298,283,36.87,0
0.12,299,283,14.036,0
0.14,299,283,0,0
0.16,299,283,0,0
0.18,299,283,0,0
0.2,299,283,0,0
0.22,299,283,0,0
0.24,299,283,0,0
0.26,299,283,0,0
0.28,299,283,0,0
0.3,299,283,0,0
0.32,299,283,0,0
0.34,299,283,0,0
0.36,299,283,0,0
0.38,299,283,0,0
0.4,299,283,0,0
0.42,299,283,0,0
0.44,299,283,0,0
0.46,299,283,0,0
0.48,299,283,0,0
0.5,299,283,0,0
0.52,299,283,0,0
0.54,299,283,0,0
0.56,299,283,0,0
0.58,299,283,0,0
0.6,299,283,0,0
0.62,299,283,0,0
0.64,299,283,0,0
0.66,299,283,0,0
0.68,299,283,0,0
0.7,299,283,0,0
0.72,299,283,0,0
0.74,299,283,0,0
0.76,299,283,0,0
0.78,299,283,0,0
0.8,299,283,0,0
0.82,299,283,0,0
0.84,299,283,0,0
0.86,299,283,0,0
0.88,299,283,0,0
0.9,299,283,0,0
0.92,299,283,0,0
0.94,299,283,0,0
0.96,299,283,0,0
0.98,299,283,0,0
1,299,283,0,0
1.02,299,283,0,0
1.04,299,283,0,0
1.06,299,283,0,0
1.08,299,283,0,0
1.1,299,283,165.96,0
1.12,298,283,165.96,0
1.14,298,283,0,0
1.16,298,283,0,0
1.18,298,283,0,0
1.2,298,283,0,0
1.22,298,283,0,0
1.24,298,283,0,0
1.26,298,283,0,0
1.28,298,283,165.96,0
1.3,297,283,153.43,0
1.32,296,283,165.96,0
1.34,296,283,165.96,0
1.36,295,283,143.13,0
1.38,293,283,143.13,0
1.4,292,283,165.96,0
1.42,292,283,165.96,0
1.44,291,283,165.96,0
1.46,291,283,0,0
1.48,291,283,0,0
1.5,291,283,0,0
1.52,291,283,0,0
1.54,291,283,0,0
1.56,291,283,0,0
1.58,291,283,0,0
1.6,291,283,0,0
1.62,291,283,0,0
1.64,291,283,0,0
1.66,291,283,0,0
1.68,291,283,0,0
1.7,291,283,0,0
1.72,291,283,0,0
1.74,291,283,0,0
1.76,291,283,0,0
1.78,291,283,0,0
